"PlotID","Subplot","Plant_Species","Lat","Long"
29,"H",1,45.4040320191,-93.1892190904
64,"C",32,45.4037556484487,-93.189708000888
69,"C",1,45.403759342,-93.1888843903
78,"H",32,45.4036275677817,-93.187811128721
82,"C",16,45.4036174034,-93.1884753015
83,"H",1,45.4036179937,-93.1886433439
105,"C",32,45.4034913041578,-93.1892034207553
108,"C",16,45.403497044,-93.1886411407
109,"C",1,45.4034989817,-93.1884785092
110,"C",4,45.4035010804,-93.1883089259
137,"C",1,45.4031966273,-93.1902610003
138,"C",4,45.4031990992,-93.1900924692
167,"C",1,45.4030513322,-93.1900867254
176,"H",4,45.4029293366,-93.1900810681
201,"H",4,45.4027980423936,-93.1886200852276
202,"C",16,45.4027846173,-93.1895123093
220,"C",16,45.4026761122425,-93.1890153340555
223,"C",4,45.4026849288811,-93.1884492407368
229,"C",4,45.4025359818324,-93.1876107914706
230,"H",1,45.4025333507338,-93.1877792872577
233,"C",4,45.4025255008109,-93.1882819970174
237,"C",1,45.4025144048,-93.189012315
249,"C",32,45.4023688184,-93.1905703734
253,"C",16,45.4023812452393,-93.1898994269088
262,"H",32,45.4024065161949,-93.1882783279488
268,"C",1,45.402262213254,-93.1877713972199
273,"C",16,45.4022541486,-93.1886022217
280,"H",1,45.4022253623,-93.1898868836
282,"C",1,45.4022256016,-93.1902315001
286,"C",4,45.4020985637,-93.1907205
290,"C",1,45.4021087020067,-93.1900640542188
291,"C",1,45.4021086545,-93.1898830452
295,"H",32,45.4021198632,-93.1891639809
299,"C",16,45.4021339044848,-93.1884322175736
301,"H",16,45.4021389923471,-93.1881027832969
325,"C",4,45.4018351996,-93.1905490797
328,"C",16,45.4018410466,-93.1900564261
338,"H",1,45.4018660868,-93.188261663
